MutTable_Hydro_GeneName	pLI	mis_z
FAU	8.53E-01	1.08E+00
CHIC1	8.53E-01	5.88E-01
GREB1	6.60E-09	1.68E+00
GOLT1B	8.53E-01	1.01E+00
INTS1	7.11E-11	1.41E+00
TNFRSF1B	5.02E-01	9.30E-01
SLC6A2	8.15E-02	2.02E+00
PPP1R9A	1.08E-05	1.22E+00
PBX3	3.63E-01	2.16E+00
E4F1	8.01E-02	1.35E+00
ACSL1	1.53E-03	1.40E+00
PLCL1	1.21E-02	1.86E+00
CSGALNACT2	2.38E-01	1.12E+00
FRMPD3	1.90E-04	1.02E+00
KIF18A	1.48E-03	5.45E-01
JCAD	3.00E-03	-2.53E-01
DOCK8	1.49E-11	-2.54E+00
MYLK2	2.33E-01	2.25E-01
TMEM248	7.42E-01	1.22E+00
ATF1	6.34E-01	1.28E+00
DDN	3.59E-01	5.34E-01
FOXA2	7.42E-01	3.78E-01
GLRX3	3.58E-01	1.48E-01
EPB41L3	4.32E-05	1.48E+00
TMTC2	2.25E-02	5.39E-01
KIAA0513	2.35E-01	-2.85E-01
FSD1L	2.34E-01	1.52E+00
VDAC2	6.34E-01	1.14E+00
OTUD7B	1.13E-02	7.94E-01
ABCA12	2.92E-15	1.63E+00
MAP7D2	4.14E-02	-2.46E-01
VPS4B	2.30E-01	2.41E+00
C1GALT1C1	8.52E-01	1.03E+00
FOXN2	4.97E-01	-5.87E-01
VEGFC	4.96E-01	8.49E-01
LPCAT1	1.37E-01	1.61E+00
PRICKLE3	6.32E-01	1.19E+00
PRKAA1	1.37E-01	2.49E+00
ABCF2	1.13E-02	2.48E+00
DNAH1	1.50E-26	1.21E+00
PXK	1.08E-02	1.09E+00
EXOC1	6.90E-04	2.11E+00
H2AFY	7.37E-01	3.30E+00
FOXO4	8.13E-01	1.65E+00
CHKA	2.27E-01	1.00E+00
PITX3	8.13E-01	1.50E+00
RAP2A	8.51E-01	2.56E+00
FEM1C	6.29E-01	2.43E+00
DMRT1	7.39E-01	-4.38E-01
FAM155B	8.13E-01	-3.79E-01
MAP3K11	1.09E-02	1.90E+00
SLC16A12	4.93E-01	9.51E-01
ATE1	4.06E-02	6.34E-01
PRKACB	3.51E-01	2.80E+00
ZDHHC9	7.37E-01	2.55E+00
PARP1	3.34E-04	8.18E-01
FBXO18	8.22E-05	2.82E+00
KAT8	2.25E-01	3.15E+00
ZNF804A	5.53E-03	-4.51E-01
PRR19	8.12E-01	3.01E-01
RND1	7.37E-01	1.09E+00
DNAJC5	8.12E-01	1.79E+00
RPL27	8.50E-01	1.14E+00
NPTX1	6.25E-01	1.87E+00
PTHLH	8.11E-01	1.15E+00
MMP15	7.34E-02	1.33E+00
ACTC1	7.37E-01	4.52E+00
CREB5	2.23E-01	1.61E+00
TSG101	3.44E-01	2.00E+00
USP20	7.29E-05	1.43E+00
MSL2	6.24E-01	2.00E+00
OSBPL2	1.31E-01	1.97E+00
TNKS2	3.67E-05	3.12E+00
NEDD8	8.49E-01	2.03E+00
PLEKHO1	4.83E-01	6.93E-02
RPL31	8.50E-01	1.64E+00
CEP57	7.27E-02	-4.58E-01
SMC4	1.68E-05	1.08E+00
FAM76B	3.41E-01	1.31E+00
ING5	6.19E-01	1.92E+00
ABCC9	9.35E-09	4.97E+00
STX16	4.83E-01	9.52E-01
BLMH	1.29E-01	1.63E+00
TDRD7	6.11E-04	9.88E-01
RPS6KC1	1.26E-03	4.48E-01
DTX4	2.17E-01	1.67E+00
DNM3	2.42E-03	2.70E+00
HMCN1	3.63E-38	2.80E-01
GRN	6.97E-02	2.75E-01
PCDHGC3	1.25E-01	1.41E+00
SGSM1	1.60E-05	1.97E+00
ING2	7.29E-01	1.74E+00
C17ORF75	3.37E-01	8.31E-01
PDGFA	8.08E-01	6.86E-01
ZBTB5	6.18E-01	1.23E+00
SLC39A9	7.29E-01	1.97E+00
RPS26	8.48E-01	1.93E+00
TMOD1	4.78E-01	1.23E+00
MARCH9	7.31E-01	1.40E+00
SEMA5A	1.54E-05	1.33E+00
NPR1	2.93E-04	2.82E+00
HECA	6.15E-01	2.61E+00
GIGYF1	3.42E-06	-1.49E-01
VPS13A	9.31E-22	1.76E+00
VPS26A	6.14E-01	1.56E+00
RBM46	4.73E-01	2.10E+00
SLC20A1	6.72E-02	1.85E+00
CDK2	6.11E-01	2.49E+00
ZNF248	3.26E-01	4.83E-01
FAM126A	1.21E-01	9.81E-01
B3GNT5	7.26E-01	1.05E+00
HK2	4.59E-03	1.16E+00
TAZ	7.26E-01	2.21E+00
CNTN5	6.20E-05	-3.36E-01
PRKAB2	7.26E-01	1.50E+00
TPT1	8.05E-01	1.53E+00
ASF1A	8.05E-01	2.39E+00
PAPPA2	7.79E-08	1.09E+00
PFDN1	8.47E-01	7.81E-01
GRM2	1.20E-01	2.37E+00
STARD7	4.72E-01	9.58E-01
RNF34	6.11E-01	1.44E+00
PDE9A	4.56E-03	1.09E+00
TARBP2	4.66E-01	1.77E+00
ABCA1	1.45E-13	1.75E+00
RBMS1	1.19E-01	1.66E+00
TADA2B	7.24E-01	2.80E+00
MSANTD1	8.05E-01	7.46E-01
REPS2	2.03E-01	1.31E+00
NPC1	6.54E-06	1.09E+00
SMC5	3.13E-06	1.08E+00
DENND1B	2.04E-01	3.32E-01
TLR8	3.24E-01	3.08E+00
GAS6	3.45E-02	1.19E+00
MROH1	2.03E-01	5.98E-01
COPS8	7.25E-01	9.19E-01
STK32C	2.04E-01	2.11E+00
GJB1	8.46E-01	2.03E+00
RPL30	8.47E-01	1.99E+00
TNF	8.03E-01	1.62E+00
UCK2	7.21E-01	2.81E+00
RNF121	3.19E-01	1.39E+00
KLHL11	2.01E-01	3.18E+00
TBC1D9	2.80E-05	3.16E+00
AFAP1L2	2.16E-03	6.54E-01
GALNT17	1.17E-01	2.44E+00
ZNF624	3.25E-02	2.43E+00
FAM91A1	2.41E-04	2.16E+00
COPS7B	6.01E-01	1.09E+00
HAPLN1	6.02E-01	4.14E-01
GPBP1L1	1.99E-01	-1.33E-01
SH3PXD2B	4.16E-03	5.26E-01
ENC1	4.60E-01	3.05E+00
GALNT2	8.42E-03	2.00E+00
NETO2	6.27E-02	9.88E-01
STT3A	2.05E-03	3.62E+00
PPP1R13L	3.21E-02	1.54E+00
CEP295	2.36E-13	1.66E+00
CNN3	5.99E-01	2.24E+00
PIK3R2	1.63E-02	2.33E+00
PPP4C	4.55E-01	3.55E+00
VKORC1L1	8.44E-01	1.79E+00
PSMA4	6.00E-01	2.44E+00
MYCBP	8.45E-01	9.30E-01
THAP1	8.01E-01	1.37E+00
FAM20C	3.15E-01	1.02E+00
SMC6	2.66E-06	2.22E+00
NCAPD3	5.82E-09	-7.28E-01
MAPRE3	7.16E-01	2.36E+00
ESRRA	5.97E-01	2.08E+00
ALAS1	1.10E-01	1.19E+00
RNF4	8.00E-01	1.07E+00
PDP1	4.51E-01	1.62E+00
NPTXR	7.16E-01	1.26E+00
SYT9	3.09E-01	1.32E+00
E2F4	4.53E-01	1.09E+00
PEX5L	7.99E-03	2.85E+00
NFYC	1.08E-01	2.52E+00
UGGT1	5.19E-10	1.08E+00
RIMKLB	5.93E-01	2.34E+00
MCM3AP	5.24E-09	4.07E-02
LRRTM1	5.95E-01	1.42E+00
ARMC5	1.08E-01	1.71E+00
CACNB4	3.07E-02	2.70E+00
NPRL3	1.90E-01	1.84E+00
ITSN2	9.75E-13	1.12E+00
LTBR	3.06E-01	2.03E+00
NUDCD3	4.48E-01	8.51E-01
SPTA1	2.60E-18	-2.25E+00
ARC	5.94E-01	2.60E+00
RENBP	4.49E-01	7.91E-01
CXORF21	8.43E-01	9.29E-01
NUDT4	7.97E-01	1.94E+00
MAGOH	7.97E-01	2.57E+00
ATXN3	1.06E-01	1.35E+00
WARS	3.03E-01	1.99E+00
UBE2M	7.98E-01	2.29E+00
ABCC4	1.07E-07	1.70E+00
ARSE	5.90E-01	1.95E+00
UNC5C	8.81E-04	9.83E-01
KHDRBS3	4.42E-01	1.32E+00
DENND6A	1.77E-03	2.07E+00
MCTP1	9.31E-05	1.23E+00
PSMC4	3.01E-01	3.53E+00
TBCD	1.00E-07	1.82E+00
SPECC1	8.68E-04	-1.88E-01
LRRK1	4.52E-10	2.72E+00
GRINA	4.42E-01	1.21E+00
ZNF207	1.05E-01	2.51E+00
CRYBG3	9.27E-05	4.68E-01
CFAP47	7.10E-01	4.47E-01
C7ORF43	1.81E-01	2.21E+00
CNKSR3	2.82E-02	5.85E-01
DNAJB12	4.40E-01	5.80E-01
WNT5B	5.85E-01	1.79E+00
NOP53	1.81E-01	-6.47E-01
HS3ST4	7.96E-01	8.71E-01
GAREM2	4.39E-01	1.73E+00
UST	4.39E-01	1.14E+00
FAM69A	5.84E-01	2.26E+00
SNAI2	7.95E-01	1.15E+00
CARS	4.03E-04	1.20E+00
CCNYL1	5.86E-01	1.62E+00
SRP72	1.71E-03	1.02E+00
TMCC2	2.95E-01	2.23E+00
YAF2	7.95E-01	1.56E+00
SNRPB	7.09E-01	1.87E+00
UBE2J1	4.37E-01	1.03E+00
DHX8	9.15E-07	5.03E+00
B3GNT7	7.06E-01	1.19E+00
SRPK3	2.92E-01	3.07E-02
ZBTB8OS	7.05E-01	5.93E-01
ATP1A2	1.81E-04	4.77E+00
GGH	5.81E-01	4.51E-01
PWWP2B	8.41E-01	1.42E+00
ST3GAL1	5.83E-01	1.30E+00
EIF4E2	5.82E-01	2.33E+00
NPR2	4.20E-05	2.96E+00
KLHL14	5.35E-02	1.60E+00
FRMD6	2.79E-02	2.65E-01
TMEM115	7.95E-01	1.48E+00
VPS52	3.89E-04	2.50E+00
AKIRIN1	7.93E-01	5.01E-01
NETO1	5.26E-02	1.80E+00
DAXX	9.86E-02	1.49E+00
ITM2C	7.04E-01	3.80E-01
DTL	3.30E-03	1.78E+00
MID2	1.76E-01	1.58E+00
GRB14	5.31E-02	-4.49E-02
NUAK1	9.87E-02	1.65E+00
IL2RB	2.91E-01	4.41E-01
SEPT2	2.88E-01	1.99E+00
PKD2	1.73E-04	2.72E-01
RPL17-C18ORF32	5.75E-01	1.12E+00
RHOBTB2	1.33E-02	2.66E+00
PAX1	7.00E-01	-7.58E-01
DUSP8	7.00E-01	2.33E+00
TCF3	2.58E-02	-2.28E-01
ZNF768	4.24E-01	2.72E+00
ZHX3	5.08E-02	1.46E+00
TNS2	3.70E-07	1.06E+00
DCAF11	6.33E-03	1.52E+00
PGM2L1	2.59E-02	2.24E+00
CCNT1	5.11E-02	1.08E+00
MSH6	3.67E-05	-2.78E+00
TGFBR3	3.06E-03	1.21E+00
ANKH	2.79E-01	2.35E+00
ZNF250	2.78E-01	2.34E+00
KRIT1	6.93E-04	1.43E+00
UBE2L3	8.38E-01	2.88E+00
PQBP1	7.89E-01	1.92E+00
FAM234B	2.53E-02	4.90E-01
SIAH1	6.99E-01	3.23E+00
YWHAQ	6.98E-01	1.67E+00
TIMP2	7.89E-01	1.61E+00
GPR137C	4.23E-01	8.09E-01
APLNR	7.89E-01	8.02E-01
PWP2	6.99E-04	3.25E-01
PCSK5	2.54E-12	2.57E+00
TBC1D22B	2.55E-02	2.42E+00
MACROD1	5.69E-01	7.94E-01
SNIP1	4.22E-01	1.24E+00
RNF113B	7.89E-01	7.62E-01
CCDC117	7.88E-01	-2.25E-01
TEX2	1.50E-04	1.52E+00
ZNF689	4.18E-01	2.52E+00
ELMOD2	4.18E-01	5.65E-01
PLPPR1	5.66E-01	1.44E+00
STARD8	2.45E-02	3.74E-01
ZNF358	7.88E-01	2.58E+00
GAN	2.48E-02	-7.26E-01
RUFY2	6.78E-04	1.68E+00
THAP4	2.76E-01	1.90E+00
ARHGEF40	6.63E-09	9.79E-01
CBFA2T3	4.84E-02	1.55E-01
LAG3	2.76E-01	5.12E-01
MNX1	7.88E-01	7.31E-01
VGF	5.68E-01	2.51E-01
GARNL3	6.89E-06	2.02E+00
MED23	3.10E-08	4.73E+00
ZNF566	4.15E-01	7.38E-01
ZNF335	6.89E-07	5.50E-01
ADAM19	6.80E-05	1.88E+00
CDC42	7.87E-01	3.04E+00
ABCA3	6.62E-08	3.23E-01
GET4	5.62E-01	1.68E-01
AP2S1	7.85E-01	2.86E+00
RNF44	2.70E-01	3.94E-01
DUSP16	8.89E-02	8.90E-01
ATL2	1.18E-02	3.89E-01
CD79A	6.92E-01	1.13E+00
PCNP	7.86E-01	1.17E+00
VPS36	4.64E-02	1.71E+00
NOS3	6.72E-07	2.04E+00
TMF1	1.45E-05	4.17E-01
GRAMD1A	1.31E-03	1.29E+00
IRS1	2.36E-02	6.76E-02
PJA2	2.37E-02	4.26E-01
GPAT4	8.81E-02	2.70E+00
C1QTNF5	8.36E-01	1.16E+00
ANTXR2	8.69E-02	1.03E+00
DUSP7	6.90E-01	2.57E+00
GALNT4	2.67E-01	-9.75E-03
LZTS2	4.61E-02	7.35E-01
RFFL	4.07E-01	1.40E+00
SIRT1	8.73E-02	1.79E+00
KIAA1549L	1.29E-07	1.30E+00
CBL	6.09E-04	1.03E+00
YWHAH	7.84E-01	2.56E+00
GART	2.77E-04	1.11E+00
MCF2L	2.72E-07	1.85E+00
UNC119B	7.84E-01	9.26E-01
TMEM72	7.84E-01	6.56E-02
GABARAPL1	8.35E-01	1.19E+00
AKTIP	4.04E-01	1.74E+00
CACNA1H	4.78E-10	-2.36E+00
COL8A1	4.05E-01	1.44E+00
USP21	2.64E-03	2.08E+00
TRIP11	1.71E-12	5.15E-01
CDCA3	6.89E-01	6.57E-01
TECPR1	2.71E-07	1.86E+00
FKBP4	1.55E-01	1.21E+00
COL15A1	2.54E-08	1.20E-01
DNM1L	5.68E-04	3.83E+00
CBX7	6.85E-01	1.30E+00
HNF4A	1.53E-01	1.81E+00
CSF2	8.35E-01	3.77E-01
HYDIN	2.27E-24	8.10E-01
MBNL3	6.86E-01	1.39E+00
RGS1	7.82E-01	1.28E-01
MORC1	5.88E-06	1.45E+00
PNPLA8	1.10E-02	9.49E-02
EPRS	1.04E-09	1.60E+00
TBC1D10C	1.54E-01	9.20E-01
IL27	7.82E-01	1.08E+00
ZNF81	5.54E-01	1.42E+00
SH3RF1	1.08E-02	1.51E+00
NXT2	8.34E-01	1.12E+00
PDE3B	5.72E-05	4.82E-02
RHBDF2	1.19E-03	1.79E+00
CHPF	1.51E-01	1.03E+00
OLIG3	8.34E-01	-2.48E-01
NAP1L2	7.81E-01	1.02E-01
PEG3	2.63E-05	-9.54E-01
NFXL1	1.24E-05	1.39E+00
IL1R1	1.51E-01	1.92E+00
PXN	8.23E-02	1.57E+00
SPDYA	5.51E-01	1.56E+00
MYPN	2.61E-06	1.29E-01
MYO1F	2.37E-07	1.76E+00
KCNAB1	4.23E-02	2.15E+00
SLC9A2	2.42E-03	2.11E+00
SEH1L	1.49E-01	1.74E+00
FYTTD1	3.95E-01	6.08E-01
PPP1R15B	1.51E-01	-1.35E+00
FAT2	6.02E-18	7.17E-01
SMAD7	5.49E-01	1.65E+00
PTEN	2.57E-01	3.49E+00
SPRYD3	1.50E-01	2.35E+00
RPS15	8.33E-01	1.78E+00
AADAT	1.46E-01	2.35E+00
SSU72	7.79E-01	2.56E+00
ZNF574	8.02E-02	1.31E+00
SETD3	2.08E-02	1.45E+00
PALLD	5.25E-06	8.81E-01
ABCB4	2.21E-07	1.97E+00
NFYA	1.46E-01	2.78E+00
EDF1	7.77E-01	1.56E+00
FUT8	9.93E-03	2.20E+00
PDIA4	7.80E-02	-1.26E-01
HMGA1	8.32E-01	1.81E+00
RETREG2	2.49E-01	2.91E-01
TPM4	3.89E-01	9.51E-01
KLHL18	7.82E-02	2.01E+00
FNTB	7.88E-02	1.38E+00
RBM44	1.08E-03	2.60E-01
ZNF398	1.46E-01	1.07E+00
MAP2K5	4.77E-03	2.02E+00
FARP1	5.07E-06	8.36E-01
RABGAP1L	1.09E-04	1.12E+00
SLC30A3	5.42E-01	1.73E+00
MAL	8.32E-01	4.06E-01
PELI1	3.90E-01	2.12E+00
BTBD7	1.08E-04	9.22E-01
RNF138	6.75E-01	2.12E+00
RAB9A	8.32E-01	1.28E+00
ZNF12	3.97E-02	1.49E+00
DHDDS	2.45E-01	1.09E+00
FGF8	6.77E-01	1.57E+00
UNC93B1	1.43E-01	1.86E+00
HCK	1.98E-02	1.70E+00
CTNNBL1	9.71E-03	2.18E+00
PDE5A	1.06E-04	2.10E+00
KCNJ6	5.41E-01	3.71E+00
LPIN2	5.03E-05	9.83E-01
MXD4	7.76E-01	7.37E-01
ADAD1	3.90E-02	8.95E-01
KLHL20	9.41E-03	3.61E+00
SLC18A2	7.55E-02	1.25E+00
VARS	1.80E-08	2.68E+00
EIF1	8.31E-01	1.87E+00
CALB1	2.43E-01	1.44E+00
TFG	1.41E-01	1.33E+00
GPC6	1.42E-01	9.01E-01
ZC3H12A	1.40E-01	2.18E+00
CERS6	3.86E-02	6.57E-01
ALDH1A3	1.41E-01	2.24E+00
SIPA1	4.58E-03	2.46E+00
ZSCAN20	4.81E-04	1.34E+00
KIF1BP	7.57E-02	1.45E+00
DMPK	3.83E-02	2.85E-01
KIF13B	2.14E-12	2.05E+00
FAM46D	8.30E-01	9.57E-01
NAPA	2.40E-01	9.93E-01
SLC25A11	5.35E-01	2.49E+00
PLA2G15	3.78E-01	7.51E-01
VASN	6.72E-01	2.95E-01
SOX8	6.72E-01	8.88E-01
RASGRP3	9.11E-03	5.04E-01
EMILIN1	4.39E-03	1.21E+00
NDNF	3.80E-01	4.83E-01
ZNF112	9.20E-03	4.40E-01
FSIP2	4.63E-28	3.31E+00
GPR85	7.73E-01	2.05E+00
CHTF8	8.29E-01	9.48E-01
STYX	3.77E-01	1.47E+00
TMEM178A	6.69E-01	1.79E+00
FOXI1	7.73E-01	7.28E-01
RAB4B	6.71E-01	9.24E-01
RNF208	8.30E-01	1.24E+00
ATP6V1E1	5.28E-01	1.59E+00
TMEM184B	3.73E-01	2.06E+00
NELFA	1.35E-01	1.82E+00
NDFIP2	5.27E-01	6.19E-01
ADGRG5	1.34E-01	3.94E-01
NEUROD1	7.71E-01	2.33E-01
SEC23IP	1.93E-05	6.00E-01
SLC7A5	2.35E-01	1.65E+00
CNTN3	1.99E-05	1.32E+00
OSBP2	4.34E-04	1.86E+00
FGF7	7.71E-01	1.49E+00
MSANTD3-TMEFF1	2.37E-01	1.07E+00
HINFP	3.69E-02	1.68E+00
LARP6	6.69E-01	1.51E+00
NEFM	1.80E-02	-6.78E-02
PCSK7	4.19E-03	1.49E+00
RPS6KA1	1.91E-03	2.99E+00
CNNM1	1.76E-02	2.74E+00
SHOX	6.66E-01	-5.38E-01
USP36	1.88E-05	-3.98E-01
EIF2AK2	1.76E-02	1.28E+00
PDE3A	1.93E-04	5.92E-01
ARHGEF3	4.05E-03	2.08E+00
DMWD	3.69E-01	2.41E+00
GOLGA4	9.48E-16	-1.03E-01
VAX1	7.71E-01	8.69E-01
NFE2	6.67E-01	1.22E+00
ZNF366	7.03E-02	-6.30E-02
ZNF784	8.29E-01	7.44E-01
ZNF791	1.34E-01	1.52E+00
GAL3ST1	6.66E-01	1.73E+00
RNF25	1.76E-02	6.28E-01
TNPO3	1.75E-06	3.44E+00
NCS1	6.64E-01	2.22E+00
BRD8	1.56E-07	3.03E+00
TAF6L	7.01E-02	8.46E-01
ADGRV1	3.17E-39	7.40E-02
ALS2	8.72E-12	1.90E+00
MAPK9	6.97E-02	2.28E+00
CNTNAP4	7.76E-07	-1.24E+00
DNAJC3	1.75E-02	1.71E+00
TOGARAM1	1.33E-08	6.07E-01
UBAP2	3.43E-07	-1.10E-01
FAM57B	6.65E-01	1.18E+00
CXADR	3.69E-01	9.79E-01
SEMA3C	8.74E-04	9.94E-01
RETREG3	1.30E-01	4.64E-01
CPS1	1.09E-09	1.46E+00
MTA3	3.44E-02	6.58E-01
MAEA	2.27E-01	2.57E+00
CDV3	7.68E-01	7.65E-01
TMEM184C	6.86E-02	2.57E+00
TTC13	1.74E-05	2.55E+00
CHRD	3.79E-05	1.46E+00
RHOC	7.68E-01	1.85E+00
PALM	5.19E-01	7.16E-01
HES7	8.27E-01	7.60E-01
TUBG1	1.29E-01	4.16E+00
ZHX2	3.37E-02	7.59E-01
ADIPOR2	3.62E-01	2.65E+00
DNAJB11	2.26E-01	1.77E+00
PAK1IP1	3.63E-01	8.27E-01
CPNE8	8.02E-03	1.91E+00
PEX14	2.26E-01	1.27E+00
SNX25	8.18E-05	4.16E-01
ZNF853	1.78E-03	1.93E+00
AIP	3.62E-01	9.30E-01
CXCL13	8.26E-01	5.82E-01
ZIC5	7.65E-01	9.63E-01
TGFBR2	1.25E-01	2.24E+00
EPB41	3.59E-05	9.22E-01
TRAK1	3.73E-04	1.09E+00
G3BP1	3.31E-02	1.86E+00
ALX4	3.57E-01	8.21E-01
TSPAN9	6.59E-01	1.38E+00
ALDH18A1	8.12E-04	1.97E+00
BIRC3	6.56E-02	1.15E+00
CNTN4	3.30E-06	5.72E-01
GXYLT1	1.25E-01	3.58E-01
TEFM	5.14E-01	5.84E-01
ETAA1	7.80E-03	2.44E-01
RBM3	8.26E-01	1.32E+00
ESRRB	1.26E-01	1.56E+00
ITGB3	1.72E-03	1.16E+00
NLRP3	8.11E-04	2.14E+00
PARN	3.73E-04	7.94E-01
SCARB1	6.62E-02	1.60E+00
BDNF	6.56E-01	1.94E+00
HTR2A	5.11E-01	1.75E+00
CDKAL1	1.60E-02	1.66E+00
SLC44A5	7.68E-05	1.18E+00
FLRT3	2.20E-01	1.86E+00
FBXL2	7.53E-03	2.46E+00
NADK2	6.52E-02	2.05E+00
RNF170	5.11E-01	1.42E+00
TTL	3.57E-01	1.71E+00
MAPK4	2.19E-01	1.68E+00
RPL38	8.26E-01	1.69E+00
TDRKH	3.24E-02	1.80E+00
ZNF668	2.21E-01	2.35E+00
RAB39B	8.25E-01	1.94E+00
TCF21	8.26E-01	7.80E-01
FBLN2	7.01E-06	7.66E-01
PAM	6.93E-06	9.60E-01
RACGAP1	1.70E-03	2.01E+00
ZNF646	6.78E-06	6.38E-01
CPLX1	8.25E-01	-3.51E-01
CACNA1S	6.26E-12	-1.11E-01
ZFP90	3.17E-02	9.46E-01
NCOA7	3.30E-05	5.63E-01
NRBP2	1.56E-02	1.92E+00
EPHA5	7.29E-05	1.36E+00
CKAP4	5.09E-01	8.52E-01
VAV2	3.11E-06	1.49E+00
PKMYT1	2.19E-01	7.40E-02
LIMK2	1.56E-02	1.40E+00
TMEM181	7.49E-03	2.50E-02
NAA10	7.62E-01	2.41E+00
COL4A3	1.07E-12	1.99E+00
NALCN	8.52E-14	4.96E+00
FEM1B	3.49E-01	3.62E+00
CFB	3.35E-04	1.48E+00
BRD9	1.54E-02	1.26E+00
MBD2	3.50E-01	2.11E+00
AKAP5	6.52E-01	1.17E+00
OSBPL1A	2.58E-07	1.56E+00
SIX1	6.53E-01	1.19E+00
CHRDL1	2.16E-01	4.50E-01
RHOV	7.62E-01	1.95E+00
RNF26	6.53E-01	1.18E+00
SCAP	2.91E-06	2.57E+00
DHCR24	3.10E-02	1.50E+00
POLDIP3	1.18E-01	1.22E-01
MYLPF	7.60E-01	6.50E-01
PRKAR2A	1.19E-01	1.26E+00
MSTN	5.05E-01	7.78E-01
PLD5	3.07E-02	1.54E+00
KCTD9	6.17E-02	3.60E+00
SSH1	3.30E-04	1.02E+00
PXDN	2.51E-07	2.21E+00
RPA2	5.05E-01	7.74E-01
SCAMP5	6.51E-01	2.05E+00
FBXO34	1.17E-01	4.89E-01
HACE1	6.08E-06	3.59E+00
INPP5F	2.36E-07	1.35E+00
SLC25A19	6.49E-01	5.87E-01
RGS10	7.59E-01	1.33E+00
ZBTB7B	3.44E-01	2.61E+00
KLHL12	3.03E-02	2.83E+00
PPP2CB	3.44E-01	3.11E+00
RBM7	6.48E-01	8.25E-01
SLA	3.43E-01	8.76E-01
STK4	1.46E-02	1.47E+00
GFRA1	1.18E-01	1.39E+00
GKAP1	6.11E-02	7.31E-01
NHSL2	1.17E-01	7.37E-01
PHLPP2	1.21E-06	-6.31E-01
AKAP17A	5.02E-01	2.79E-01
DHX29	3.77E-09	1.93E+00
ZW10	1.49E-03	4.41E-01
CSRNP1	3.43E-01	2.90E-01
TNFSF8	7.58E-01	8.34E-01
CTSS	3.42E-01	2.24E+00
MPHOSPH8	1.47E-03	1.08E+00
IGSF21	2.09E-01	3.24E-01
SRRM3	2.09E-01	1.24E+00
JAK3	5.93E-06	2.81E+00
KCNA6	4.97E-01	3.05E+00
FAM49A	2.06E-01	2.87E+00
ARPC5	8.22E-01	1.63E+00
SPPL2A	2.90E-02	9.29E-01
LARS	8.21E-09	1.48E+00
RNF6	1.39E-02	1.25E+00
FARSA	1.41E-02	1.22E+00
RAB33A	8.22E-01	1.93E+00
SLC11A2	6.65E-03	2.23E+00
FRMD8	1.14E-01	9.22E-01
TDRD15	1.20E-05	2.07E+00
SH3RF3	2.84E-02	1.53E+00
ANKRD44	3.37E-01	1.03E+00
GATA4	4.93E-01	6.71E-01
GYS1	2.91E-04	1.84E+00
AKAP2	6.07E-05	2.25E-01
BTF3	7.56E-01	1.53E+00
ST8SIA1	4.93E-01	1.16E+00
KDM1B	1.40E-03	1.67E+00
PALM2-AKAP2	6.07E-05	2.25E-01
SLC4A3	1.23E-05	2.74E+00
POM121	5.80E-02	-9.75E-01
EPHA3	1.20E-05	6.52E-01
GOLGA5	5.96E-05	7.18E-01
POLD1	2.42E-06	2.46E+00
CCDC88B	1.40E-09	9.43E-01
CYHR1	4.91E-01	3.15E+00
PDE1A	1.35E-02	9.67E-01
SHROOM2	2.94E-03	-3.25E-01
GPR88	7.55E-01	3.03E+00
CTBP2	1.36E-03	1.06E+00
RPL24	6.41E-01	1.63E+00
TBC1D19	6.31E-04	1.85E+00
AKAP3	5.64E-02	4.68E-01
ZNF622	1.11E-01	3.83E-01
CORO2B	5.68E-02	2.19E+00
PAGE1	8.20E-01	-1.29E-01
MYLK	9.17E-12	1.13E+00
GK5	6.34E-03	1.95E+00
SLC23A2	6.26E-03	3.63E+00
NGF	8.20E-01	9.03E-01
TSNAX	4.89E-01	1.30E+00
SLC25A42	4.89E-01	2.10E+00
IQCJ-SCHIP1	2.73E-02	6.92E-01
SMNDC1	6.38E-01	2.48E+00
CDKN1C	8.20E-01	1.93E+00
PARK7	7.53E-01	1.65E-01
CTDP1	6.00E-04	9.96E-01
RHBDD2	6.39E-01	6.65E-01
SPCS3	8.20E-01	2.04E+00
ACBD5	6.15E-03	8.73E-01
ITGA6	1.90E-07	1.65E+00
SRSF9	6.39E-01	2.53E+00
TECR	1.08E-01	1.78E+00
DUSP9	8.20E-01	1.32E+00
TRIM13	6.37E-01	9.39E-01
DRG1	3.29E-01	2.21E+00
CEP85	2.70E-04	2.24E-01
C7ORF55-LUC7L2	5.53E-02	2.62E+00
FBXO8	4.86E-01	1.94E+00
SLC5A6	6.08E-03	1.63E+00
ZFP36	7.52E-01	7.94E-01
KIAA1522	2.69E-02	7.02E-02
LLGL1	2.47E-05	1.45E+00
LRPPRC	2.30E-10	-1.93E+00
NFS1	5.54E-02	1.41E+00
GAS1	8.19E-01	7.47E-01
POC1B-GALNT4	1.07E-01	6.21E-02
ADAMTSL1	3.12E-12	-9.70E-01
ADAM11	1.04E-05	2.63E+00
MUM1L1	4.83E-01	1.16E-01
METAP1	1.05E-01	1.87E+00
NSUN2	2.58E-04	3.40E-02
PLEKHA7	6.22E-09	2.14E-01
KIAA1211	5.32E-05	3.56E-01
NRROS	3.26E-01	8.92E-01
ERP29	7.51E-01	1.81E-01
TRMT12	3.26E-01	1.53E-01
RHBDL1	3.24E-01	1.22E+00
KCNK5	3.25E-01	1.97E+00
KLHDC2	2.65E-02	9.27E-01
